,youtube link,crop,framerate,start_time,end_time,frame_start,frame_end,level_player,level_song,song,filename,piece_description,split,Q,A
0,https://youtu.be/xMJNc4smQII,"400, 150, 820, 470",23.98,0:00,0:29,0.0,695.42,1,1,Mary had a little lamb,1,This is a well know folk song Mary had a little lamb,train,"Which difficulty level is the piece, in a scale of 9?",1
0,https://youtu.be/xMJNc4smQII,"400, 150, 820, 470",23.98,0:00,0:29,0.0,695.42,1,1,Mary had a little lamb,1,This is a well know folk song Mary had a little lamb,train,"Which skill level is the performer in, in a scale of 9?",1
0,https://youtu.be/xMJNc4smQII,"400, 150, 820, 470",23.98,0:00,0:29,0.0,695.42,1,1,Mary had a little lamb,1,This is a well know folk song Mary had a little lamb,train,"How would you rate the performance, in a scale of 5?",4
0,https://youtu.be/xMJNc4smQII,"400, 150, 820, 470",23.98,0:00,0:29,0.0,695.42,1,1,Mary had a little lamb,1,This is a well know folk song Mary had a little lamb,train,What kind of performance might this be?,"This is a examplary student's performance, and everything is executed correctly."
0,https://youtu.be/xMJNc4smQII,"400, 150, 820, 470",23.98,0:00,0:29,0.0,695.42,1,1,Mary had a little lamb,1,This is a well know folk song Mary had a little lamb,train,What is the stylistic period of the piece? Who is the potential composer?,This is a well know folk song Mary had a little lamb
1,https://www.youtube.com/watch?v=QY8y0vhGNGE&feature=youtu.be,"390, 350, 820, 660",29.97,0:02,0:22,59.94,659.34,1,1,hymn of praise,2,,train,"Which difficulty level is the piece, in a scale of 9?",1
1,https://www.youtube.com/watch?v=QY8y0vhGNGE&feature=youtu.be,"390, 350, 820, 660",29.97,0:02,0:22,59.94,659.34,1,1,hymn of praise,2,,train,"Which skill level is the performer in, in a scale of 9?",1
1,https://www.youtube.com/watch?v=QY8y0vhGNGE&feature=youtu.be,"390, 350, 820, 660",29.97,0:02,0:22,59.94,659.34,1,1,hymn of praise,2,,train,"How would you rate the performance, in a scale of 5?",4
1,https://www.youtube.com/watch?v=QY8y0vhGNGE&feature=youtu.be,"390, 350, 820, 660",29.97,0:02,0:22,59.94,659.34,1,1,hymn of praise,2,,train,What kind of performance might this be?,"This is a examplary student's performance, and everything is executed correctly."
2,https://www.youtube.com/watch?v=QY8y0vhGNGE&feature=youtu.be,"260, 196, 735, 706",29.97,0:26,0:50,779.22,1498.5,1,1,the popcorn man,3,,train,"Which difficulty level is the piece, in a scale of 9?",1
2,https://www.youtube.com/watch?v=QY8y0vhGNGE&feature=youtu.be,"260, 196, 735, 706",29.97,0:26,0:50,779.22,1498.5,1,1,the popcorn man,3,,train,"Which skill level is the performer in, in a scale of 9?",1
2,https://www.youtube.com/watch?v=QY8y0vhGNGE&feature=youtu.be,"260, 196, 735, 706",29.97,0:26,0:50,779.22,1498.5,1,1,the popcorn man,3,,train,"How would you rate the performance, in a scale of 5?",4
2,https://www.youtube.com/watch?v=QY8y0vhGNGE&feature=youtu.be,"260, 196, 735, 706",29.97,0:26,0:50,779.22,1498.5,1,1,the popcorn man,3,,train,What kind of performance might this be?,"This is a examplary student's performance, and everything is executed correctly."
3,https://www.youtube.com/watch?v=QY8y0vhGNGE&feature=youtu.be,"384, 315, 750, 608",29.97,0:55,1:35,1648.35,2847.15,1,1,charlie the chimp,4,,train,"Which difficulty level is the piece, in a scale of 9?",1
3,https://www.youtube.com/watch?v=QY8y0vhGNGE&feature=youtu.be,"384, 315, 750, 608",29.97,0:55,1:35,1648.35,2847.15,1,1,charlie the chimp,4,,train,"Which skill level is the performer in, in a scale of 9?",1
3,https://www.youtube.com/watch?v=QY8y0vhGNGE&feature=youtu.be,"384, 315, 750, 608",29.97,0:55,1:35,1648.35,2847.15,1,1,charlie the chimp,4,,train,"How would you rate the performance, in a scale of 5?",4
3,https://www.youtube.com/watch?v=QY8y0vhGNGE&feature=youtu.be,"384, 315, 750, 608",29.97,0:55,1:35,1648.35,2847.15,1,1,charlie the chimp,4,,train,What kind of performance might this be?,"This is a examplary student's performance, and everything is executed correctly."
5,https://youtu.be/3H8I--rq0XM,"150, 100, 393, 353",29.95,0:01,1:17,29.95,2306.15,3,1,,7,,train,"Which difficulty level is the piece, in a scale of 9?",1
5,https://youtu.be/3H8I--rq0XM,"150, 100, 393, 353",29.95,0:01,1:17,29.95,2306.15,3,1,,7,,train,"Which skill level is the performer in, in a scale of 9?",3
5,https://youtu.be/3H8I--rq0XM,"150, 100, 393, 353",29.95,0:01,1:17,29.95,2306.15,3,1,,7,,train,"How would you rate the performance, in a scale of 5?",4
