,id,mark_sub_level,title,upload_date,duration,view_count,like_count,dislike_count,comment_count,webpage_url,channel_url,split,audio_path,Q,A
0,H0-BU62EEfE,0.0,Contrasts - ABRSM Grade 7 specimen No. 13 - Sight-reading progress July 2023 #30piecechallenge,20231228,70,90,6.0,,2.0,https://www.youtube.com/watch?v=H0-BU62EEfE,https://www.youtube.com/channel/UCSoasSmoWrTAmeDUP65hl3A,test,/data/scratch/acw630/PianoJudge/novice/H0-BU62EEfE.wav,Does this sound like a performance by a student or a master?,This appears to be a student performance.
1,rJqH5myics8,,60 days of practice: day  28 Chopin Nocturne op.9 no.2 Amazing music,20230621,66,418,21.0,,6.0,https://www.youtube.com/watch?v=rJqH5myics8,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/rJqH5myics8.wav,Who is likely the composer of the music being played?,Chopin
1,rJqH5myics8,,60 days of practice: day  28 Chopin Nocturne op.9 no.2 Amazing music,20230621,66,418,21.0,,6.0,https://www.youtube.com/watch?v=rJqH5myics8,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/rJqH5myics8.wav,Does this sound like a performance by a student or a master?,This sounds like a student performance.
2,_YgP8fHct7E,,Czerny Etude 17 Fast Passagess Piano Practice Day 16 of 30,20230509,43,74,12.0,,4.0,https://www.youtube.com/watch?v=_YgP8fHct7E,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/_YgP8fHct7E.wav,Does this sound like a performance by a student or a master?,This appears to be a student performance.
3,l8R2n3X0_aY,,60 days of practice: day 39 Chopin Waltz op.64 no.2 | The Most Beautiful Part,20230704,84,272,18.0,,8.0,https://www.youtube.com/watch?v=l8R2n3X0_aY,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/l8R2n3X0_aY.wav,Who might be the composer of this piece?,Chopin
3,l8R2n3X0_aY,,60 days of practice: day 39 Chopin Waltz op.64 no.2 | The Most Beautiful Part,20230704,84,272,18.0,,8.0,https://www.youtube.com/watch?v=l8R2n3X0_aY,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/l8R2n3X0_aY.wav,Would you say this performance sounds more like it's by a student or a master?,This performance has the characteristics of played by a novice.
4,4z_3CPgz_zc,,"Arietta Grieg | piano, HANSOL | 아리에타 그리그",20200321,83,101,2.0,,,https://www.youtube.com/watch?v=4z_3CPgz_zc,https://www.youtube.com/channel/UCztTKflXnyZ4vfWCQKO3nPw,train,/data/scratch/acw630/PianoJudge/novice/4z_3CPgz_zc.wav,Does this sound like a performance by a student or a master?,This sounds like a student performance.
5,v9C9qudAIcU,,Day 1 of 30 Tchaikovsky Sweet dream,20230424,60,120,7.0,,0.0,https://www.youtube.com/watch?v=v9C9qudAIcU,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/v9C9qudAIcU.wav,Who might be the composer of this piece?,Tchaikovsky
5,v9C9qudAIcU,,Day 1 of 30 Tchaikovsky Sweet dream,20230424,60,120,7.0,,0.0,https://www.youtube.com/watch?v=v9C9qudAIcU,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/v9C9qudAIcU.wav,Would you say this performance sounds more like it's by a student or a master?,This appears to be a student performance.
6,hxeEu-tCeB4,,60 days of practice: day 31 Chopin Fantaisie-Impromptu | One Month Progress,20230624,81,1986,87.0,,15.0,https://www.youtube.com/watch?v=hxeEu-tCeB4,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/hxeEu-tCeB4.wav,Could you guess the composer of this piece?,Chopin
