,audio_path,split,Q,A
0,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,How would you describe this performance?,"slow, sad, clear phrasing"
1,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,What kind of music is this piece and who is the composer?,This is a passage from Beethoven's sonata. 
2,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,"How would you rate the difficulty of this piece, in a scale of 9?",6
3,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,How would you describe this performance?,"soft, tender"
4,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,What kind of music is this piece and who is the composer?,This is a passage from Beethoven's sonata. 
5,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,"How would you rate the difficulty of this piece, in a scale of 9?",6
6,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,How would you describe this performance?,ordinary
7,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,What kind of music is this piece and who is the composer?,This is a passage from Beethoven's sonata. 
8,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,"How would you rate the difficulty of this piece, in a scale of 9?",6
9,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,How would you assess this student performance?,"Sorry, but this piece sounds like a virtuoso performance. I would describe it as pacified."
10,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,What kind of music is this piece and who is the composer?,This is a passage from Beethoven's sonata. 
11,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,"How would you rate the difficulty of this piece, in a scale of 9?",6
12,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,How would you assess this student performance?,"Sorry, but this piece sounds like a virtuoso performance. I would describe it as blank."
13,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,What kind of music is this piece and who is the composer?,This is a passage from Beethoven's sonata. 
14,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,"How would you rate the difficulty of this piece, in a scale of 9?",6
15,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,How would you describe this performance?,fragile
16,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,What kind of music is this piece and who is the composer?,This is a passage from Beethoven's sonata. 
17,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,"How would you rate the difficulty of this piece, in a scale of 9?",6
18,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,How would you assess this student performance?,"Sorry, but this piece sounds like a virtuoso performance. I would describe it as slow, sameness, loud, soft."
19,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,What kind of music is this piece and who is the composer?,This is a passage from Beethoven's sonata. 
20,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,"How would you rate the difficulty of this piece, in a scale of 9?",6
21,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,How would you assess this student performance?,"Sorry, but this piece sounds like a virtuoso performance. I would describe it as dull, rough, unclear."
22,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,What kind of music is this piece and who is the composer?,This is a passage from Beethoven's sonata. 
23,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,"How would you rate the difficulty of this piece, in a scale of 9?",6
24,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,How would you assess this student performance?,"Sorry, but this piece sounds like a virtuoso performance. I would describe it as muted, discreet."
25,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,What kind of music is this piece and who is the composer?,This is a passage from Beethoven's sonata. 
26,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,"How would you rate the difficulty of this piece, in a scale of 9?",6
27,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,How would you assess this student performance?,"Sorry, but this piece sounds like a virtuoso performance. I would describe it as very emotional."
28,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,What kind of music is this piece and who is the composer?,This is a passage from Beethoven's sonata. 
29,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,"How would you rate the difficulty of this piece, in a scale of 9?",6
30,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,How would you describe this performance?,"classy, straight, careful"
31,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,What kind of music is this piece and who is the composer?,This is a passage from Beethoven's sonata. 
32,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,"How would you rate the difficulty of this piece, in a scale of 9?",6
33,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,How would you assess this student performance?,"Sorry, but this piece sounds like a virtuoso performance. I would describe it as expressive, differentiated."
34,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,What kind of music is this piece and who is the composer?,This is a passage from Beethoven's sonata. 
35,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,"How would you rate the difficulty of this piece, in a scale of 9?",6
36,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,How would you assess this student performance?,"Sorry, but this piece sounds like a virtuoso performance. I would describe it as restrained."
37,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,What kind of music is this piece and who is the composer?,This is a passage from Beethoven's sonata. 
38,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,"How would you rate the difficulty of this piece, in a scale of 9?",6
39,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,How would you describe this performance?,"delicate, soft, tender, even, calm"
40,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,What kind of music is this piece and who is the composer?,This is a passage from Beethoven's sonata. 
41,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,"How would you rate the difficulty of this piece, in a scale of 9?",6
42,/data/EECS-MachineListeningLab/datasets/LLaQo/con_espressione/audio_all/beethoven_casadesus.wav,test,How would you assess this student performance?,"Sorry, but this piece sounds like a virtuoso performance. I would describe it as very nice, expressive, not very dynamic."
