,Composer,Work Title,Movement,henle,YouTube Link 1,YouTube Link 2,YouTube Link 3,Unnamed: 6,audio_id,audio_path,original_id,split,Q,A
0,FRÉDÉRIC CHOPIN,Ballade f minor op. 52,,9,https://www.youtube.com/watch?v=DifwSUoUqec,,,,DifwSUoUqec,/data/scratch/acw630/difficulty_cipi/DifwSUoUqec.wav,c-209,val,Can you identify the composer of this piece?,FRÉDÉRIC CHOPIN
0,FRÉDÉRIC CHOPIN,Ballade f minor op. 52,,9,https://www.youtube.com/watch?v=DifwSUoUqec,,,,DifwSUoUqec,/data/scratch/acw630/difficulty_cipi/DifwSUoUqec.wav,c-209,val,"how would you rate the difficulty of the piece played in this track, on a scale of 1 to 9?On a scale from 1 to 9, how challenging is the piece featured in this track?",9
0,FRÉDÉRIC CHOPIN,Ballade f minor op. 52,,9,https://www.youtube.com/watch?v=DifwSUoUqec,,,,DifwSUoUqec,/data/scratch/acw630/difficulty_cipi/DifwSUoUqec.wav,c-209,val,Does this sound like a performance by a student or a master?,This is a master performance. It's mistake-free and has a high level of musicality.
1,LUDWIG VAN BEETHOVEN,Piano Sonata (Waldstein Sonata) C major op. 53,mvt. 1,9,https://www.youtube.com/watch?v=5q72vXcAW0o,https://www.youtube.com/watch?v=o_4s7hSfNII,https://www.youtube.com/watch?v=Pik2nUjG7OI,,5q72vXcAW0o,/data/scratch/acw630/difficulty_cipi/5q72vXcAW0o.wav,c-21,train,Who is likely the composer of the music being played?,LUDWIG VAN BEETHOVEN
1,LUDWIG VAN BEETHOVEN,Piano Sonata (Waldstein Sonata) C major op. 53,mvt. 1,9,https://www.youtube.com/watch?v=5q72vXcAW0o,https://www.youtube.com/watch?v=o_4s7hSfNII,https://www.youtube.com/watch?v=Pik2nUjG7OI,,5q72vXcAW0o,/data/scratch/acw630/difficulty_cipi/5q72vXcAW0o.wav,c-21,train,"What difficulty level would you assign to the composition in this track, on a scale of 1 to 9?",9
1,LUDWIG VAN BEETHOVEN,Piano Sonata (Waldstein Sonata) C major op. 53,mvt. 1,9,https://www.youtube.com/watch?v=5q72vXcAW0o,https://www.youtube.com/watch?v=o_4s7hSfNII,https://www.youtube.com/watch?v=Pik2nUjG7OI,,5q72vXcAW0o,/data/scratch/acw630/difficulty_cipi/5q72vXcAW0o.wav,c-21,train,Does this sound like a performance by a student or a master?,This is a master performance. It's mistake-free and has a high level of musicality.
2,LUDWIG VAN BEETHOVEN,Piano Sonata (Waldstein Sonata) C major op. 53,mvt. 2,9,https://www.youtube.com/watch?v=Hbwcu2pbwig,https://www.youtube.com/watch?v=5q72vXcAW0o,https://www.youtube.com/watch?v=Pik2nUjG7OI,https://www.youtube.com/watch?v=_wwnfpyAtu4,Hbwcu2pbwig,/data/scratch/acw630/difficulty_cipi/Hbwcu2pbwig.wav,c-21,train,Who might be the composer of this piece?,LUDWIG VAN BEETHOVEN
2,LUDWIG VAN BEETHOVEN,Piano Sonata (Waldstein Sonata) C major op. 53,mvt. 2,9,https://www.youtube.com/watch?v=Hbwcu2pbwig,https://www.youtube.com/watch?v=5q72vXcAW0o,https://www.youtube.com/watch?v=Pik2nUjG7OI,https://www.youtube.com/watch?v=_wwnfpyAtu4,Hbwcu2pbwig,/data/scratch/acw630/difficulty_cipi/Hbwcu2pbwig.wav,c-21,train,Rate the complexity of the piece in this track on a scale of 1 to 9.,9
2,LUDWIG VAN BEETHOVEN,Piano Sonata (Waldstein Sonata) C major op. 53,mvt. 2,9,https://www.youtube.com/watch?v=Hbwcu2pbwig,https://www.youtube.com/watch?v=5q72vXcAW0o,https://www.youtube.com/watch?v=Pik2nUjG7OI,https://www.youtube.com/watch?v=_wwnfpyAtu4,Hbwcu2pbwig,/data/scratch/acw630/difficulty_cipi/Hbwcu2pbwig.wav,c-21,train,Would you say this performance sounds more like it's by a student or a master?,"This performance is of a master level, free from errors and rich in musical expression."
3,LUDWIG VAN BEETHOVEN,Piano Sonata (Waldstein Sonata) C major op. 53,mvt. 3,9,https://www.youtube.com/watch?v=O1O5WyR_nDg,,,,O1O5WyR_nDg,/data/scratch/acw630/difficulty_cipi/O1O5WyR_nDg.wav,c-21,train,Who is likely the composer of the music being played?,LUDWIG VAN BEETHOVEN
3,LUDWIG VAN BEETHOVEN,Piano Sonata (Waldstein Sonata) C major op. 53,mvt. 3,9,https://www.youtube.com/watch?v=O1O5WyR_nDg,,,,O1O5WyR_nDg,/data/scratch/acw630/difficulty_cipi/O1O5WyR_nDg.wav,c-21,train,"What difficulty level would you assign to the composition in this track, on a scale of 1 to 9?",9
3,LUDWIG VAN BEETHOVEN,Piano Sonata (Waldstein Sonata) C major op. 53,mvt. 3,9,https://www.youtube.com/watch?v=O1O5WyR_nDg,,,,O1O5WyR_nDg,/data/scratch/acw630/difficulty_cipi/O1O5WyR_nDg.wav,c-21,train,"From the sound of it, is this a student or master level performance?","This performance is of a master level, free from errors and rich in musical expression."
4,LUDWIG VAN BEETHOVEN,Piano Sonata (Waldstein Sonata) C major op. 53,mvt. 4,9,https://www.youtube.com/watch?v=UFj0jXMAQzU,,https://www.youtube.com/watch?v=o_4s7hSfNII,,UFj0jXMAQzU,/data/scratch/acw630/difficulty_cipi/UFj0jXMAQzU.wav,c-21,train,Could you guess the composer of this piece?,LUDWIG VAN BEETHOVEN
4,LUDWIG VAN BEETHOVEN,Piano Sonata (Waldstein Sonata) C major op. 53,mvt. 4,9,https://www.youtube.com/watch?v=UFj0jXMAQzU,,https://www.youtube.com/watch?v=o_4s7hSfNII,,UFj0jXMAQzU,/data/scratch/acw630/difficulty_cipi/UFj0jXMAQzU.wav,c-21,train,Rate the complexity of the piece in this track on a scale of 1 to 9.,9
