,piece_name,recording_number,original_feedback,assessor_idx,Q,A,split
0,Careless Love,1,N/A,-1,What kind of performance might this be? ,This is a student performance.,test
1,Careless Love,1,N/A,-1,"How would you rate the difficulty level of the piece, in a scale of 9? ",3,test
2,Careless Love,1,N/A,-1,What kind of music is this piece and what's difficult about it?,"This is a traditional song, adapted in simple melody and chords accompaniment.  ",test
3,Careless Love,1,4,1,"What is the overall score you would assign to the performance, in a scale of 5? ",4,test
4,Careless Love,1,5,1,"What is the overall score you would assign to the performance, in a scale of 5? ",4,test
5,Careless Love,1,attention to detail,1,Can you give an overall assessment of the student performance? Elaborate in detail? ,attention to detail,test
6,Careless Love,1,"The tempo stayed consistent, and all of the notes were played correctly. They also followed the cut time tempo. They held out the notes for the correct length, and the song flowed really well. In addition, they followed the ritardando at the end and slowed down.",1,Can you give an overall assessment of the student performance? Elaborate in detail? ,attention to detail,test
7,Careless Love,1,5,2,"What is the overall score you would assign to the performance, in a scale of 5? ",5,test
8,Careless Love,1,5,2,"What is the overall score you would assign to the performance, in a scale of 5? ",5,test
9,Careless Love,1,"Good feel for the piece. Love the use of pedal. Nice rubato at the end.  If anything, tempo is a bit fast.",2,Can you give an overall assessment of the student performance? Elaborate in detail? ,"Good feel for the piece. Love the use of pedal. Nice rubato at the end.  If anything, tempo is a bit fast.",test
10,Careless Love,1,"I didn't sense anything wrong with this piece. It flowed very well, had great tempo and dynamics. The pianist sounded confident in what they were playing.",2,Can you give an overall assessment of the student performance? Elaborate in detail? ,"Good feel for the piece. Love the use of pedal. Nice rubato at the end.  If anything, tempo is a bit fast.",test
11,Careless Love,1,4,3,"What is the overall score you would assign to the performance, in a scale of 5? ",4,test
12,Careless Love,1,5,3,"What is the overall score you would assign to the performance, in a scale of 5? ",4,test
13,Careless Love,1,"good accuracy, could have more dynamic shaping",3,Can you give an overall assessment of the student performance? Elaborate in detail? ,"good accuracy, could have more dynamic shaping",test
14,Careless Love,1,"High level of musicality, no mistakes, great use of pedal.",3,Can you give an overall assessment of the student performance? Elaborate in detail? ,"good accuracy, could have more dynamic shaping",test
15,Careless Love,1,4,4,"What is the overall score you would assign to the performance, in a scale of 5? ",4,test
16,Careless Love,1,5,4,"What is the overall score you would assign to the performance, in a scale of 5? ",4,test
17,Careless Love,1,Very good. The cresc. to F and dim. to mp wasn't there.,4,Can you give an overall assessment of the student performance? Elaborate in detail? ,Very good. The cresc. to F and dim. to mp wasn't there.,test
18,Careless Love,1,"The flow is very smooth, along with very good tone . The notes and tempo are perfect.",4,Can you give an overall assessment of the student performance? Elaborate in detail? ,Very good. The cresc. to F and dim. to mp wasn't there.,test
19,Careless Love,1,attention to detail,0, What does the student needs to work on? , Attention to detail.,test
20,Careless Love,1,"The tempo stayed consistent, and all of the notes were played correctly. They also followed the cut time tempo. They held out the notes for the correct length, and the song flowed really well. In addition, they followed the ritardando at the end and slowed down.",1, How is the overall tempo? , The tempo stayed consistent.,test
21,Careless Love,1,"The tempo stayed consistent, and all of the notes were played correctly. They also followed the cut time tempo. They held out the notes for the correct length, and the song flowed really well. In addition, they followed the ritardando at the end and slowed down.",1, Is the performed note accurate? , All of the notes were played correctly.,test
22,Careless Love,1,"The tempo stayed consistent, and all of the notes were played correctly. They also followed the cut time tempo. They held out the notes for the correct length, and the song flowed really well. In addition, they followed the ritardando at the end and slowed down.",1, Is there a reasonalbe tempo contrast? , They followed the cut time tempo.,test
23,Careless Love,1,"The tempo stayed consistent, and all of the notes were played correctly. They also followed the cut time tempo. They held out the notes for the correct length, and the song flowed really well. In addition, they followed the ritardando at the end and slowed down.",1, Is the rhythm accurate? , They held out the notes for the correct length.,test
24,Careless Love,1,"Good feel for the piece. Love the use of pedal. Nice rubato at the end.  If anything, tempo is a bit fast.",2, How would you describe the emotional intent of the performance? , Good feel for the piece. ,test
25,Careless Love,1,"Good feel for the piece. Love the use of pedal. Nice rubato at the end.  If anything, tempo is a bit fast.",2, Is the pedal usage appropriate? , Love the use of pedal. ,test
26,Careless Love,1,"Good feel for the piece. Love the use of pedal. Nice rubato at the end.  If anything, tempo is a bit fast.",2, Is there a reasonalbe tempo contrast? , Nice rubato at the end. ,test
