,split,audio_path,player,Q,A
0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_FAST_STILL_3/audio.wav,pianist02,How is the overall tempo?,Tempo of the performance seems a bit fast.
1,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_FAST_STILL_3/audio.wav,pianist02,How is the expressive intention in the performance?,"Performed with relatively less expression, rigid performance"
2,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_FAST_STILL_3/audio.wav,pianist02,What is the stylistic period of the piece? Who is the potential composer?,"This is a piece in romantic style, and composer is Schumann."
3,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_FAST_STILL_3/audio.wav,pianist02,"Which difficulty level is the piece, in a scale of 9?",5
4,test,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_FAST_LEG_1/audio.wav,pianist02,How is the overall tempo?,Tempo of the performance seems a bit fast.
5,test,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_FAST_LEG_1/audio.wav,pianist02,How is the articulation in the piece?,Performed with finger legato.
6,test,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_FAST_LEG_1/audio.wav,pianist02,What is the stylistic period of the piece? Who is the potential composer?,"This is a piece in romantic style, and composer is Schumann."
7,test,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_FAST_LEG_1/audio.wav,pianist02,"Which difficulty level is the piece, in a scale of 9?",5
8,test,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_SLOW_STA_2/audio.wav,pianist02,How is the overall tempo?,Tempo of the performance seems a bit slow.
9,test,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_SLOW_STA_2/audio.wav,pianist02,How is the articulation in the piece?,Performed with finger staccato.
10,test,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_SLOW_STA_2/audio.wav,pianist02,What is the stylistic period of the piece? Who is the potential composer?,"This is a piece in romantic style, and composer is Schumann."
11,test,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_SLOW_STA_2/audio.wav,pianist02,"Which difficulty level is the piece, in a scale of 9?",5
12,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/METRO_SLOW_EXAG_2/audio.wav,pianist02,How is the overall tempo?,Tempo of the performance seems a bit slow.
13,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/METRO_SLOW_EXAG_2/audio.wav,pianist02,How is the expressive intention in the performance?,"Performed with exaggerated tempo and dynamics change, very expressive."
14,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/METRO_SLOW_EXAG_2/audio.wav,pianist02,What is the stylistic period of the piece? Who is the potential composer?,"This is a piece in romantic style, and composer is Schumann."
15,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/METRO_SLOW_EXAG_2/audio.wav,pianist02,"Which difficulty level is the piece, in a scale of 9?",5
16,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_NORMAL_EXAG_1/audio.wav,pianist02,How is the overall tempo?,Tempo of the performance seems appropriate.
17,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_NORMAL_EXAG_1/audio.wav,pianist02,How is the expressive intention in the performance?,"Performed with exaggerated tempo and dynamics change, very expressive."
18,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_NORMAL_EXAG_1/audio.wav,pianist02,What is the stylistic period of the piece? Who is the potential composer?,"This is a piece in romantic style, and composer is Schumann."
19,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_NORMAL_EXAG_1/audio.wav,pianist02,"Which difficulty level is the piece, in a scale of 9?",5
20,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_NORMAL_STILL_1/audio.wav,pianist02,How is the overall tempo?,Tempo of the performance seems appropriate.
21,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_NORMAL_STILL_1/audio.wav,pianist02,How is the expressive intention in the performance?,"Performed with relatively less expression, rigid performance"
22,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_NORMAL_STILL_1/audio.wav,pianist02,What is the stylistic period of the piece? Who is the potential composer?,"This is a piece in romantic style, and composer is Schumann."
23,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_NORMAL_STILL_1/audio.wav,pianist02,"Which difficulty level is the piece, in a scale of 9?",5
24,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/METRO_NORMAL_NORMAL_1/audio.wav,pianist02,How is the overall tempo?,Tempo of the performance seems appropriate.
25,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/METRO_NORMAL_NORMAL_1/audio.wav,pianist02,How is the expressive intention in the performance?,"Sounds smooth, with appropriate amount of expression."
26,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/METRO_NORMAL_NORMAL_1/audio.wav,pianist02,What is the stylistic period of the piece? Who is the potential composer?,"This is a piece in romantic style, and composer is Schumann."
27,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/METRO_NORMAL_NORMAL_1/audio.wav,pianist02,"Which difficulty level is the piece, in a scale of 9?",5
28,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_RUBATO_STILL_2/audio.wav,pianist02,How is the overall tempo?,"Tempo of the performance seems rubato, contains continuous expressive tempo alteration"
29,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_RUBATO_STILL_2/audio.wav,pianist02,How is the expressive intention in the performance?,"Performed with relatively less expression, rigid performance"
30,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_RUBATO_STILL_2/audio.wav,pianist02,What is the stylistic period of the piece? Who is the potential composer?,"This is a piece in romantic style, and composer is Schumann."
31,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_RUBATO_STILL_2/audio.wav,pianist02,"Which difficulty level is the piece, in a scale of 9?",5
32,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_FAST_LEG_2/audio.wav,pianist02,How is the overall tempo?,Tempo of the performance seems a bit fast.
33,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_FAST_LEG_2/audio.wav,pianist02,How is the articulation in the piece?,Performed with finger legato.
34,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_FAST_LEG_2/audio.wav,pianist02,What is the stylistic period of the piece? Who is the potential composer?,"This is a piece in romantic style, and composer is Schumann."
35,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_FAST_LEG_2/audio.wav,pianist02,"Which difficulty level is the piece, in a scale of 9?",5
36,test,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_FAST_STA_2/audio.wav,pianist02,How is the overall tempo?,Tempo of the performance seems a bit fast.
37,test,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_FAST_STA_2/audio.wav,pianist02,How is the articulation in the piece?,Performed with finger staccato.
38,test,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_FAST_STA_2/audio.wav,pianist02,What is the stylistic period of the piece? Who is the potential composer?,"This is a piece in romantic style, and composer is Schumann."
39,test,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_FAST_STA_2/audio.wav,pianist02,"Which difficulty level is the piece, in a scale of 9?",5
40,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_NORMAL_STA_3/audio.wav,pianist02,How is the overall tempo?,Tempo of the performance seems appropriate.
41,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_NORMAL_STA_3/audio.wav,pianist02,How is the articulation in the piece?,Performed with finger staccato.
42,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_NORMAL_STA_3/audio.wav,pianist02,What is the stylistic period of the piece? Who is the potential composer?,"This is a piece in romantic style, and composer is Schumann."
43,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_NORMAL_STA_3/audio.wav,pianist02,"Which difficulty level is the piece, in a scale of 9?",5
44,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/METRO_SLOW_NORMAL_2/audio.wav,pianist02,How is the overall tempo?,Tempo of the performance seems a bit slow.
45,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/METRO_SLOW_NORMAL_2/audio.wav,pianist02,How is the expressive intention in the performance?,"Sounds smooth, with appropriate amount of expression."
46,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/METRO_SLOW_NORMAL_2/audio.wav,pianist02,What is the stylistic period of the piece? Who is the potential composer?,"This is a piece in romantic style, and composer is Schumann."
47,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/METRO_SLOW_NORMAL_2/audio.wav,pianist02,"Which difficulty level is the piece, in a scale of 9?",5
48,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_FAST_NORMAL_3/audio.wav,pianist02,How is the overall tempo?,Tempo of the performance seems a bit fast.
49,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_FAST_NORMAL_3/audio.wav,pianist02,How is the expressive intention in the performance?,"Sounds smooth, with appropriate amount of expression."
50,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_FAST_NORMAL_3/audio.wav,pianist02,What is the stylistic period of the piece? Who is the potential composer?,"This is a piece in romantic style, and composer is Schumann."
51,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_FAST_NORMAL_3/audio.wav,pianist02,"Which difficulty level is the piece, in a scale of 9?",5
52,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_RUBATO_LEG_3/audio.wav,pianist02,How is the overall tempo?,"Tempo of the performance seems rubato, contains continuous expressive tempo alteration"
53,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_RUBATO_LEG_3/audio.wav,pianist02,How is the articulation in the piece?,Performed with finger legato.
54,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_RUBATO_LEG_3/audio.wav,pianist02,What is the stylistic period of the piece? Who is the potential composer?,"This is a piece in romantic style, and composer is Schumann."
55,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/NOMETRO_RUBATO_LEG_3/audio.wav,pianist02,"Which difficulty level is the piece, in a scale of 9?",5
56,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/METRO_SLOW_EXAG_3/audio.wav,pianist02,How is the overall tempo?,Tempo of the performance seems a bit slow.
57,train,/data/EECS-MachineListeningLab/datasets/LLaQo/expressive_musical_gestures/piano/pianist02/dataset/METRO_SLOW_EXAG_3/audio.wav,pianist02,How is the expressive intention in the performance?,"Performed with exaggerated tempo and dynamics change, very expressive."
