,feedback_file,audio_file,original_feedback,Q,A,split
0,N/A,n31-sch-knd007-s-p02.wav,N/A,What kind of performance might this be? ,"This is a student performance, but in advanced level.",train
1,N/A,n31-sch-knd007-s-p02.wav,N/A,"How would you rate the difficulty level of the piece, in a scale of 9? ",5,train
2,N/A,n31-sch-knd007-s-p02.wav,N/A,Who might be the composer?,Schumann,train
3,N/A,n01-chp-etd003-s-p01.wav,N/A,What kind of performance might this be? ,"This is a student performance, but in advanced level.",train
4,N/A,n01-chp-etd003-s-p01.wav,N/A,"How would you rate the difficulty level of the piece, in a scale of 9? ",6,train
5,N/A,n01-chp-etd003-s-p01.wav,N/A,Who might be the composer?,Chopin,train
6,N/A,n32-moz-snt331-1-h-p12.wav,N/A,What kind of performance might this be? ,"This is a student performance, but in advanced level.",train
7,N/A,n32-moz-snt331-1-h-p12.wav,N/A,"How would you rate the difficulty level of the piece, in a scale of 9? ",6,train
8,N/A,n32-moz-snt331-1-h-p12.wav,N/A,Who might be the composer?,Mozart,train
9,N/A,n26-bet-snt008-2-s-p02.wav,N/A,What kind of performance might this be? ,"This is a student performance, but in advanced level.",train
10,N/A,n26-bet-snt008-2-s-p02.wav,N/A,"How would you rate the difficulty level of the piece, in a scale of 9? ",6,train
11,N/A,n26-bet-snt008-2-s-p02.wav,N/A,Who might be the composer?,Beethoven,train
12,N/A,n32-moz-snt331-1-h-p02.wav,N/A,What kind of performance might this be? ,"This is a student performance, but in advanced level.",train
13,N/A,n32-moz-snt331-1-h-p02.wav,N/A,"How would you rate the difficulty level of the piece, in a scale of 9? ",6,train
14,N/A,n32-moz-snt331-1-h-p02.wav,N/A,Who might be the composer?,Mozart,train
15,N/A,n26-bet-snt008-2-s-p01.wav,N/A,What kind of performance might this be? ,"This is a student performance, but in advanced level.",train
16,N/A,n26-bet-snt008-2-s-p01.wav,N/A,"How would you rate the difficulty level of the piece, in a scale of 9? ",6,train
17,N/A,n26-bet-snt008-2-s-p01.wav,N/A,Who might be the composer?,Beethoven,train
18,N/A,n32-moz-snt331-1-h-p01.wav,N/A,What kind of performance might this be? ,"This is a student performance, but in advanced level.",test
19,N/A,n32-moz-snt331-1-h-p01.wav,N/A,"How would you rate the difficulty level of the piece, in a scale of 9? ",6,test
20,N/A,n32-moz-snt331-1-h-p01.wav,N/A,Who might be the composer?,Mozart,test
21,N/A,n31-sch-knd007-s-p01.wav,N/A,What kind of performance might this be? ,"This is a student performance, but in advanced level.",train
22,N/A,n31-sch-knd007-s-p01.wav,N/A,"How would you rate the difficulty level of the piece, in a scale of 9? ",5,train
23,N/A,n31-sch-knd007-s-p01.wav,N/A,Who might be the composer?,Schumann,train
24,N/A,n48-deb-rev068-s-p01.wav,N/A,What kind of performance might this be? ,"This is a student performance, but in advanced level.",train
25,N/A,n48-deb-rev068-s-p01.wav,N/A,"How would you rate the difficulty level of the piece, in a scale of 9? ",5,train
26,N/A,n48-deb-rev068-s-p01.wav,N/A,Who might be the composer?,Debussy,train
27,N/A,n08-chp-pld007-s-p03.wav,N/A,What kind of performance might this be? ,"This is a student performance, but in advanced level.",test
28,N/A,n08-chp-pld007-s-p03.wav,N/A,"How would you rate the difficulty level of the piece, in a scale of 9? ",4,test
29,N/A,n08-chp-pld007-s-p03.wav,N/A,Who might be the composer?,Chopin,test
