,piece_name,recording_number,original_feedback,assessor_idx,Q,A,split
0,Careless Love,1,4,1,"What is the overall score you would assign to the performance, in a scale of 5? ",4,test
1,Careless Love,1,5,1,"What is the overall score you would assign to the performance, in a scale of 5? ",4,test
2,Careless Love,1,5,2,"What is the overall score you would assign to the performance, in a scale of 5? ",5,test
3,Careless Love,1,5,2,"What is the overall score you would assign to the performance, in a scale of 5? ",5,test
4,Careless Love,1,4,3,"What is the overall score you would assign to the performance, in a scale of 5? ",4,test
5,Careless Love,1,5,3,"What is the overall score you would assign to the performance, in a scale of 5? ",4,test
6,Careless Love,1,4,4,"What is the overall score you would assign to the performance, in a scale of 5? ",4,test
7,Careless Love,1,5,4,"What is the overall score you would assign to the performance, in a scale of 5? ",4,test
8,Careless Love,1,attention to detail,0, What does the student needs to work on? , Attention to detail.,test
9,Careless Love,1,"The tempo stayed consistent, and all of the notes were played correctly. They also followed the cut time tempo. They held out the notes for the correct length, and the song flowed really well. In addition, they followed the ritardando at the end and slowed down.",1, How is the overall tempo? , The tempo stayed consistent.,test
10,Careless Love,1,"The tempo stayed consistent, and all of the notes were played correctly. They also followed the cut time tempo. They held out the notes for the correct length, and the song flowed really well. In addition, they followed the ritardando at the end and slowed down.",1, Is the performed note accurate? , All of the notes were played correctly.,test
11,Careless Love,1,"The tempo stayed consistent, and all of the notes were played correctly. They also followed the cut time tempo. They held out the notes for the correct length, and the song flowed really well. In addition, they followed the ritardando at the end and slowed down.",1, Is there a reasonalbe tempo contrast? , They followed the cut time tempo.,test
12,Careless Love,1,"The tempo stayed consistent, and all of the notes were played correctly. They also followed the cut time tempo. They held out the notes for the correct length, and the song flowed really well. In addition, they followed the ritardando at the end and slowed down.",1, Is the rhythm accurate? , They held out the notes for the correct length.,test
13,Careless Love,1,"Good feel for the piece. Love the use of pedal. Nice rubato at the end.  If anything, tempo is a bit fast.",2, How would you describe the emotional intent of the performance? , Good feel for the piece. ,test
14,Careless Love,1,"Good feel for the piece. Love the use of pedal. Nice rubato at the end.  If anything, tempo is a bit fast.",2, Is the pedal usage appropriate? , Love the use of pedal. ,test
15,Careless Love,1,"Good feel for the piece. Love the use of pedal. Nice rubato at the end.  If anything, tempo is a bit fast.",2, Is there a reasonalbe tempo contrast? , Nice rubato at the end. ,test
16,Careless Love,1,"Good feel for the piece. Love the use of pedal. Nice rubato at the end.  If anything, tempo is a bit fast.",2, How is the overall tempo? , A bit fast.,test
17,Careless Love,1,"I didn't sense anything wrong with this piece. It flowed very well, had great tempo and dynamics. The pianist sounded confident in what they were playing.",3, Is the performance hesitant or smooth? , It flowed very well.,test
18,Careless Love,1,"I didn't sense anything wrong with this piece. It flowed very well, had great tempo and dynamics. The pianist sounded confident in what they were playing.",3, How is the overall tempo? , Had great tempo.,test
19,Careless Love,1,"I didn't sense anything wrong with this piece. It flowed very well, had great tempo and dynamics. The pianist sounded confident in what they were playing.",3, In which skill level would you say the performer is in? , Sounded confident in what they were playing.,test
20,Careless Love,1,"good accuracy, could have more dynamic shaping",4, Is the performed note accurate? , Good accuracy.,test
21,Careless Love,1,"good accuracy, could have more dynamic shaping",4, Is there reasonalbe dynamics contrast? , Could have more dynamic shaping.,test
22,Careless Love,1,"High level of musicality, no mistakes, great use of pedal.",5, What is the overall score you would assign to the performance? ," High level of musicality, no mistakes.",test
23,Careless Love,1,"High level of musicality, no mistakes, great use of pedal.",5, Is the pedal usage appropriate? , Great use of pedal.,test
24,Careless Love,1,Very good. The cresc. to F and dim. to mp wasn't there.,6, Is there reasonalbe dynamics contrast? , The cresc. to F and dim. to mp wasn't there.,test
25,Careless Love,1,"The flow is very smooth, along with very good tone . The notes and tempo are perfect.",7, How is the tone production? , Very good tone.,test
26,Careless Love,1,"The flow is very smooth, along with very good tone . The notes and tempo are perfect.",7, Is the performance hesitant or smooth? , The flow is very smooth.,test
27,Careless Love,1,"The flow is very smooth, along with very good tone . The notes and tempo are perfect.",7, Is the performed note accurate? , The notes are perfect.,test
28,Careless Love,1,"The flow is very smooth, along with very good tone . The notes and tempo are perfect.",7, How is the overall tempo? , The tempo is perfect.,test
29,Careless Love,2,4,1,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
30,Careless Love,2,3,1,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
31,Careless Love,2,4,2,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
32,Careless Love,2,2,2,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
33,Careless Love,2,2,3,"What is the overall score you would assign to the performance, in a scale of 5? ",2,train
34,Careless Love,2,3,3,"What is the overall score you would assign to the performance, in a scale of 5? ",2,train
35,Careless Love,2,2,4,"What is the overall score you would assign to the performance, in a scale of 5? ",2,train
36,Careless Love,2,2,4,"What is the overall score you would assign to the performance, in a scale of 5? ",2,train
37,Careless Love,2,note error,0, Is the performed note accurate? , There were note errors in the performance.,train
38,Careless Love,2,"Although the tempo stayed consistent, the notes were not held for the correct amount of time. Specifically, the notes in the left hand were too short, which made them sound too choppy. Overall, the song dragged too much and didn't sound cohesive.",1, How is the overall tempo? ," Though the tempo stayed consistent, it made the song drag.",train
39,Careless Love,2,"Although the tempo stayed consistent, the notes were not held for the correct amount of time. Specifically, the notes in the left hand were too short, which made them sound too choppy. Overall, the song dragged too much and didn't sound cohesive.",1, Is the performance hesitant or smooth? , Overall the performance was not cohesive.,train
40,Careless Love,2,"Although the tempo stayed consistent, the notes were not held for the correct amount of time. Specifically, the notes in the left hand were too short, which made them sound too choppy. Overall, the song dragged too much and didn't sound cohesive.",1, Is the articulation appropriate? ," The notes in the left hand were not held for the correct duration, making them sound too choppy. ",train
41,Careless Love,2,Good tempo. Nice steady rhythm. Missed a B-flat right hand.,2, How is the overall tempo? , The tempo was good. ,train
42,Careless Love,2,Good tempo. Nice steady rhythm. Missed a B-flat right hand.,2, Is the rhythm accurate? , The rhythm was steady.,train
43,Careless Love,2,Good tempo. Nice steady rhythm. Missed a B-flat right hand.,2, Is the performed note accurate? , A B-flat note was missed on the right hand.,train
44,Careless Love,2,This piece felt choppy and not cohesive. The pianist sounded confident in what they were playing but that confidence did not lend to ease of listening.,3, How would you describe the emotional intent of the performance? , The pianist sounded confident. ,train
45,Careless Love,2,This piece felt choppy and not cohesive. The pianist sounded confident in what they were playing but that confidence did not lend to ease of listening.,3, Is the performance hesitant or smooth? , The piece felt choppy and not cohesive.,train
46,Careless Love,2,"under tempo, lumpy heavy performance; no balance or shaping",4, How is the overall tempo? , The performance was under tempo. ,train
47,Careless Love,2,"under tempo, lumpy heavy performance; no balance or shaping",4, Is there reasonable balance between hands? ," No, there was no balance.",train
48,Careless Love,2,"under tempo, lumpy heavy performance; no balance or shaping",4, Is the phrasing or melodic shaping clear? , There was no shaping.,train
49,Careless Love,2,"Few mistakes, but not very musical.",5, Is the performed note accurate? , Few mistakes were made. ,train
50,Careless Love,2,"Few mistakes, but not very musical.",5, How would you describe the emotional intent of the performance? , The performance was not very musical.,train
51,Careless Love,2,"Balance to heavy to LH. LH chords detached. Too slow, no ""flow."" Wrong note ms. 5 RH.",6, Is there reasonable balance between hands? ," No, the balance was too heavy to the left hand. ",train
52,Careless Love,2,"Balance to heavy to LH. LH chords detached. Too slow, no ""flow."" Wrong note ms. 5 RH.",6, How is the overall tempo? ," The tempo was too slow, no ""flow.""",train
53,Careless Love,2,"Balance to heavy to LH. LH chords detached. Too slow, no ""flow."" Wrong note ms. 5 RH.",6, Is the performed note accurate? , Wrong note at measure 5 in right hand.,train
54,Careless Love,2,There's some wrong notes in the beginning and some half notes don't last long enough.,7, Is the performed note accurate? , There were some wrong notes in the beginning.,train
55,Careless Love,2,There's some wrong notes in the beginning and some half notes don't last long enough.,7, Is the performance hesitant or smooth? , Some half notes were not held long enough.,train
56,Careless Love,3,3,1,"What is the overall score you would assign to the performance, in a scale of 5? ",3,train
57,Careless Love,3,3,1,"What is the overall score you would assign to the performance, in a scale of 5? ",3,train
58,Careless Love,3,4,2,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
59,Careless Love,3,1,2,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
60,Careless Love,3,1,3,"What is the overall score you would assign to the performance, in a scale of 5? ",1,train
61,Careless Love,3,2,3,"What is the overall score you would assign to the performance, in a scale of 5? ",1,train
62,Careless Love,3,1,4,"What is the overall score you would assign to the performance, in a scale of 5? ",1,train
